FECHA;PRECTOTCORR;ALLSKY_SFC_SW_DWN
20000924;3,78;17,77
20000925;0,43;22,1
20000926;0,21;20,1
20000927;1,38;19,92
20000928;1,75;21,92
20000929;0,77;17,61
20000930;0,38;18,28
20001001;1,16;20,64
20001002;13,85;18,44
20001003;7,85;18,2
20001004;0,41;23,82
20001005;0,04;18,12
20001006;0;22,17
20001007;0,35;21,98
20001008;0,09;21,09
20001009;0,24;19,54
20001010;0,48;13,93
20001011;0,75;21,79
20001012;0,75;21,67
20001013;0,89;20,62
20001014;0,86;19,4
20001015;0,28;16,03
20001016;0,17;21,62
20001017;0,24;22,18
20001018;0,31;16,97
20001019;0,22;19,26
20001020;0,2;17,68
20001021;1,57;18,09
20001022;1,7;18,78
20001023;0,61;19,94
20001024;0,93;15,34
20001025;0,73;18,32
20001026;1,63;17,01
20001027;0,31;16,49
20001028;0,05;19,44
20001029;1,02;20,14
20001030;17,52;16,19
20001031;6,44;12,2
20001101;17,72;14,85
20001102;17,28;11,87
20001103;2,09;16,16
20001104;0,37;18,25
20001105;3,71;16,09
20001106;0,55;18,9
20001107;5,98;19,13
20001108;3,14;16,52
20001109;1,09;18,96
20001110;1,9;18,41
20001111;4,12;19,12
20001112;1,03;12,7
20001113;1,3;18,59
20001114;1,81;19,61
20001115;17,36;16,39
20001116;2,62;16,66
20001117;0,86;17,89
20001118;0,26;19,32
20001119;0,04;22,09
20001120;0;22,34
20001121;0;21,83
20001122;0;22,11
20001123;0,11;21,61
20001124;0,01;20,6
20001125;0,12;21,33
20001126;0,32;19,99
20001127;0,19;19,58
20001128;0,23;16,25
20001129;0,03;14,23
20001130;0,01;19,88
20001201;0,3;15,58
20001202;0,7;19,76
20001203;0,22;15,59
20001204;0,03;16,21
20001205;0;18,28
20001206;0;20,26
20001207;0;18,74
20001208;0,71;20
20001209;0,07;18,5
20001210;0,35;20,07
20001211;0,18;17,94
20001212;0,03;19,95
20001213;0,17;15,61
20001214;0,09;19,69
20001215;1,3;20,77
20001216;0,59;20,01
20001217;0,14;19,58
20001218;0,12;20,23
20001219;0,05;20,73
20001220;0,04;19,23
20001221;0,05;19,72
20001222;0,02;15,72
20001223;0;17,03
20001224;0;18,55
20001225;0,03;15,71
20001226;3,38;16,61
20001227;6,2;15,61
20001228;0,35;15,97
20001229;0,14;16,44
20001230;1,2;9,01
20001231;1,61;18,12
20010101;0,03;18,11
20010102;0;20,89
20010103;0;21,17
20010104;0;18,87
20010105;0;19,81
20010106;0;20,04
20010107;0;17,39
20010108;0;20,85
20010109;0;21,22
20010110;25,82;17
20010111;6,78;21,05
20010112;0,08;15,56
20010113;0,05;19,11
20010114;0;19,18
20010115;0,06;18,35
20010116;0,02;18,22
20010117;1,8;18,05
20010118;0,27;19,86
20010119;0;18,77
20010120;0;17,35
20010121;0;17,35
20010122;0;20,62
20010123;0;21,41
20010124;0;20,98
20010125;0;18,21
20010126;0;17,51
20010127;0;21,9
20010128;0,13;21,59
20010129;0,02;22,95
20010130;0;22,21
20010131;0,01;24,18
20010201;0,03;23,45
20010202;0,01;24,26
20010203;0,03;23,72
20010204;0,07;23,08
20010205;0;21,44
20010206;0;22,88
20010207;0;21,77
20010208;0,05;22,34
20010209;0,06;20,19
20010210;0;17,64
20010211;0;17,39
20010212;0;21,88
20010213;0,03;22,25
20010214;0,15;21,31
20010215;0,09;23,7
20010216;0;22,14
20010217;0;23,75
20010218;0;24,02
20010219;0;21,27
20010220;0;23,69
20010221;0,04;21,77
20010222;0,01;23,95
20010223;0;23,28
20010224;0;21,67
20010225;0,16;22,58
20010226;0,08;20,02
20010227;0,19;22,72
20010228;0,06;23,39
20010301;0;23,44
20010302;0;24,52
20010303;0;23,05
20010304;1,06;21,9
20010305;0,52;23,37
20010306;0,03;16,95
20010307;8,83;19,06
20010308;0,41;18,98
20010309;0,29;22,57
20010310;0;23,7
20010311;0;25,27
20010312;0;22,29
20010313;0;23,35
20010314;0;24,63
20010315;0;24,86
20010316;0,01;24,4
20010317;0,02;23,35
20010318;0;23,14
20010319;0;21,23
20010320;0,15;20,84
20010321;0,38;20,53
20010322;1,5;16,61
20010323;0,18;20,41
20010324;0,14;20,26
20010325;0,09;22,65
20010326;0;23,51
20010327;0;23,04
20010328;1,43;21,68
20010329;0;20,78
20010330;0;25,6
20010331;0;25,54
20010401;0;23,04
20010402;0,02;23,76
20010403;0;24,62
20010404;0,16;21,4
20010405;0,18;20,23
20010406;0,24;18,53
20010407;0;17,68
20010408;0,13;20,88
20010409;0,42;20,86
20010410;0,03;18,15
20010411;0,87;20,79
20010412;0,24;17,36
20010413;0,17;18,41
20010414;2,21;21,12
20010415;0,09;21,4
20010416;0,05;22,07
20010417;0,08;14,87
20010418;0,01;21,5
20010419;0,02;19,11
20010420;0,08;19,41
20010421;0,12;25,78
20010422;0,33;24,78
20010423;0,1;23,55
20010424;0,01;21,86
20010425;0,71;23,61
20010426;58,28;15,98
20010427;14,18;19,67
20010428;2,39;21,36
20010429;0,31;17,03
20010430;0,12;19,13
20010501;1,99;15,2
20010502;11,6;22,54
20010503;2,75;17,68
20010504;0,01;16,52
20010505;5,04;17,55
20010506;4,84;20
20010507;16,8;18,23
20010508;17,06;9,35
20010509;17,41;14,42
20010510;3,05;16,65
20010511;0;22,47
20010512;0,36;22,89
20010513;0,04;21,8
20010514;5,45;13,08
20010515;8,69;18,11
20010516;4,57;13,38
20010517;0,39;17,35
20010518;0,03;23,14
20010519;6,25;22,05
20010520;1,56;17,46
20010521;0,01;15,55
20010522;0,01;16,82
20010523;0,02;21,15
20010524;0,02;21,25
20010525;11,82;17,01
20010526;0,38;18,2
20010527;2,67;14,05
20010528;2,12;19,3
20010529;0,02;23,46
20010530;0;24,12
20010531;0,21;23,42
20010601;2,41;20,08
20010602;3,73;9,13
20010603;0,34;22,46
20010604;0,05;23,29
20010605;0,05;21,31
20010606;6,34;15,84
20010607;0,16;21,62
20010608;0,08;23,65
20010609;0,01;23,87
20010610;0,17;24,36
20010611;0,11;19,02
20010612;1,83;21,64
20010613;0,53;21,68
20010614;0,43;18,04
20010615;0,05;19,98
20010616;0,03;24,53
20010617;0,01;20,77
20010618;0;23,39
20010619;0,07;23,08
20010620;0,24;22,37
20010621;0,58;17,9
20010622;0,04;19,31
20010623;0,01;18,66
20010624;1,2;18,37
20010625;0,12;24,18
20010626;0,39;25,07
20010627;0,36;21,21
20010628;0,16;20,12
20010629;3,48;18,18
20010630;0,46;15,53
20010701;0;22,42
20010702;0,02;25,03
20010703;0,24;25,19
20010704;0,01;23,89
20010705;1,43;23,6
20010706;1,73;21,04
20010707;0,47;23,2
20010708;3,57;22,99
20010709;1,25;16,02
20010710;0,33;19,6
20010711;0,28;15,28
20010712;0,02;23,32
20010713;0,11;23,12
20010714;2,02;21,85
20010715;13,25;14,71
20010716;1,09;22,31
20010717;0,22;18,35
20010718;0,01;24,57
20010719;0,16;22,22
20010720;0,13;19,09
20010721;0;19,24
20010722;8,1;23,15
20010723;1,67;18,85
20010724;0,18;22,63
20010725;0,2;22,03
20010726;20,96;16,39
20010727;5,09;21,64
20010728;0,24;16,82
20010729;0,08;21,75
20010730;5,04;19,32
20010731;0,95;22,07
20010801;0,01;24,17
20010802;1,06;21,91
20010803;8,89;19,86
20010804;3,97;18,5
20010805;0,84;21,28
20010806;0,38;22,93
20010807;0,26;19,45
20010808;2,46;22,68
20010809;0,01;23,02
20010810;0,1;24,13
20010811;0,21;18,47
20010812;3,17;20,9
20010813;4,53;21,91
20010814;1,67;24,26
20010815;0,14;20,17
20010816;0,07;23,93
20010817;0,17;22,78
20010818;0,23;22,73
20010819;0,39;21,82
20010820;0,54;23,11
20010821;0,05;25,28
20010822;0,18;23,75
20010823;0,45;18,24
20010824;0,4;22,76
20010825;0,21;21,39
20010826;0,87;21,91
20010827;0,07;22,23
20010828;0,14;19,41
20010829;0,16;20,8
20010830;0,05;23,16
20010831;0;23,18
20010901;12,02;23,12
20010902;1,79;19,27
20010903;0,81;19,25
20010904;0,06;20,19
20010905;0,16;18,64
20010906;0,02;22,59
20010907;1,65;23,86
20010908;0,13;22,28
20010909;0,06;22,77
20010910;0,08;22,65
20010911;0,86;21,59
20010912;6,75;18,93
20010913;3,63;18,1
20010914;0,63;13,54
20010915;0,08;24,52
20010916;0,35;23,75
20010917;14,25;22,47
20010918;3,92;19,38
20010919;0,61;22,92
20010920;4,09;18,53
20010921;3,03;21,48
20010922;0,91;16,17
20010923;3,37;16,39
20010924;0,49;21,69
20010925;0,14;22,67
20010926;0,17;21,72
20010927;1,34;19,03
